Smiles,pChEMBL_Value
NC1(C(=O)NC(c2ccc(Cl)cc2)C2CC2)CCN(c2ncnc3[nH]ccc23)CC1,6.68
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(Cl)c(=O)[nH]1,6.85
COc1ccc(-c2ccc3ncc4c(c3n2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1,6.84
Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1C(F)(F)F,5.62
CC(=O)Nc1nc2ccc(-c3cnc(N)nc3)cc2s1,6.72
C[C@@H]1SCc2ncnc(N3CCN(C(=O)[C@H](N)Cc4ccc(Cl)cc4)CC3)c21,6.74
COc1cc(-c2nc(C)nc3[nH]cc(Cl)c23)c(Cl)cc1Cl,5.7
Cc1ccc(CC(CNC(C)C)C(=O)N2CCN(c3ncnc4c3[C@H](C)SC4)CC2)cc1,6.67
[N-]=[N+]=NCCCc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,4.47
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cc3ccccc3)cc2)cc1,4.82
c1ccc(OC2CCCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)C2)cc1,6.04
OC1(c2ccccc2)CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.72
CCOc1ccc(Nc2nc3ccccn3c2-c2nc(C)nc(N)n2)cn1,6.64
NC1(c2ccc(-c3nn4ccc(=O)nc4cc3-c3ccccc3)cc2)CCC1,5.79
Cc1cc(-c2c(Cl)cc(Cl)cc2OCCCC(F)(F)F)nc(N)n1,5.72
CS(=O)(=O)C1(c2cc(-c3cnc(N)cc3C(F)(F)F)nc(N3CCOCC3)n2)CCC1,6.61
CCS(=O)(=O)C1(c2cc(-c3cnc(N)cc3C(F)(F)F)nc(N3CCOCC3)n2)CC1,6.52
COc1cc2ncc3c(N)nc(-c4cncc(OC[C@@H](N)CC(C)C)c4)cc3c2cc1OC,6.04
CNC(=O)Nc1ccc(-c2nc(CS(=O)(=O)C3CC3)cc(N3CCOC[C@@H]3C)n2)cc1,6.22
CC(C)[C@H](N)COc1cncc(/C=C/c2ccncc2)c1,4.71
C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1ccccc1C2=O,6.82
NC(=O)c1c(N)ncnc1N1CCC(c2nc(C3CCCCC3)cn2CCN2CCC2)CC1,5.85
NC(=O)c1ccc(NCCc2ccccc2)c2cncnc12,5.25
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c(C(=O)O)c1,5.0
C[C@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)cc(C(C)(C)S(C)(=O)=O)n1,6.51
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3Cl)c2)cnc1N,5.8
CCc1cc(S(C)(=O)=O)ccc1C(=O)N1CCOc2ccc(-c3ccc4nc[nH]c4c3)cc2C1,6.16
Oc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,2.89
CCc1cc(-c2c[nH]c3ncc(-c4ccn[nH]4)cc23)nc(N)n1,4.58
CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,5.64
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c(C(F)(F)F)c1,6.46
CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,5.93
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(I)c1,6.86
O=C(c1ccccc1F)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.35
c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCC(c5nnc(-c6ccncc6)[nH]5)CC4)cc3)nnc1-2,6.77
C=CCNC(=O)C1c2ccccc2CN1C(=O)c1cc(Cl)c(O)cc1O,5.82
C[C@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,6.87
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,6.6
C[C@H](Nc1ncnc(N)c1F)c1nn2cccc2c(=O)n1-c1ccccc1,6.68
Nc1ccc(S(=O)(=O)Nc2nncs2)cc1,4.7
O=C(c1ccc(F)c(F)c1)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.31
N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,6.44
c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CNCC4CC4)cc3)nnc1-2,5.17
Cc1nccc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,6.22
CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)C(=O)CN3)cn1,6.89
CCCOc1cc(Cl)cc(Cl)c1-c1nc(N)nc2c1CN(C(=O)NC1CCC1)C2,5.28
CO[C@H]1CC[C@H](N2CC(=O)Nc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,6.46
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOC(CO)C2)cc(=O)[nH]1,6.81
O=NCc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,4.6
COc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.8
CCOC(=O)Cc1nc(N2CCOCC2)cc(=O)n1C,5.66
NC1(c2ccc(-c3c(-c4ccccc4)ccn4ncnc34)cc2)CCC1,6.32
Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cnc(Cl)c(NS(=O)(=O)N3CCOCC3)c2)n1,6.61
CC(C)n1ncnc1-c1nc2c(s1)CCOc1ccccc1-2,6.8
